P: logback-elasticsearch-appender F: ElasticsearchAppenderTest.java  line #: 339 Time: 5030
P: teslog F: SimulatedTelemetryStreamTest.java  line #: 54 Time: 4000
P: jare F: TkAppTest.java  line #: 94 Time: 2537
P: jare F: TkRelayTest.java  line #: 71 Time: 2011
P: jare F: TkRelayTest.java  line #: 129 Time: 2006
P: jpages F: AppTest.java  line #: 166 Time: 1000
P: jpages F: AppTest.java  line #: 166 Time: 1000
P: cryptolite-java F: KeysTest.java  line #: 75 Time: 806
P: ysoserial F: PayloadsTest.java  line #: 76 Time: 779
P: cryptolite-java F: KeysTest.java  line #: 72 Time: 750
P: jare F: LogsTest.java  line #: 50 Time: 565
P: neo4j-triggers F: TriggersIntegrationTest.java  line #: 58 Time: 544
P: iuliia-java F: MappingTest.java  line #: 47 Time: 537
P: java-sdk F: AtomicTest.java  line #: 63 Time: 532
P: jare F: DyUsageTest.java  line #: 59 Time: 291
P: jare F: DyUsageTest.java  line #: 56 Time: 289
P: thumbnailator F: Issue69InputStreamImageSourceTest.java  line #: 103 Time: 281
P: jare F: DyUsageTest.java  line #: 62 Time: 265
P: jare F: DyUsageTest.java  line #: 101 Time: 256
P: jare F: DyUsageTest.java  line #: 104 Time: 253
P: jare F: DyUsageTest.java  line #: 83 Time: 246
P: jare F: DyUsageTest.java  line #: 80 Time: 243
P: thumbnailator F: Issue69InputStreamImageSourceTest.java  line #: 171 Time: 240
P: ysoserial F: PayloadsTest.java  line #: 76 Time: 223
P: thumbnailator F: Issue69FileImageSourceTest.java  line #: 154 Time: 214
P: thumbnailator F: Issue69FileImageSourceTest.java  line #: 88 Time: 200
P: neo4j-triggers F: TriggersIntegrationTest.java  line #: 64 Time: 198
P: neo4j-triggers F: TriggersIntegrationTest.java  line #: 61 Time: 174
P: ysoserial F: PayloadsTest.java  line #: 76 Time: 169
P: java-sdk F: RtCounterTest.java  line #: 72 Time: 125
P: iuliia-java F: SchemasTest.java  line #: 239 Time: 115
P: ysoserial F: PayloadsTest.java  line #: 76 Time: 114
P: cryptolite-java F: KeyWrapperTest.java  line #: 240 Time: 113
P: java-sdk F: RtCounterTest.java  line #: 62 Time: 111
P: jare F: TkAppTest.java  line #: 91 Time: 103
P: jare F: DyUsageTest.java  line #: 107 Time: 102
P: jare F: DyUsageTest.java  line #: 65 Time: 99
P: jare F: DyUsageTest.java  line #: 86 Time: 95
P: jare F: DyUsageTest.java  line #: 86 Time: 95
P: kinto-http-java F: ObjectMapperTest.java  line #: 117 Time: 89
P: jare F: DyUsageTest.java  line #: 98 Time: 83
P: thumbnailator F: Issue69FileImageSourceTest.java  line #: 246 Time: 82
P: jare F: DyUsageTest.java  line #: 77 Time: 81
P: Embedded-Jetty-RESTEasy-Guice-Example F: HelloResourceTest.java  line #: 42 Time: 79
P: thumbnailator F: Issue69FileImageSourceTest.java  line #: 216 Time: 75
P: thumbnailator F: Issue69FileImageSourceTest.java  line #: 216 Time: 75
P: thumbnailator F: Issue69FileImageSourceTest.java  line #: 120 Time: 74
P: thumbnailator F: Issue69InputStreamImageSourceTest.java  line #: 135 Time: 71
P: thumbnailator F: Issue69InputStreamImageSourceTest.java  line #: 203 Time: 68
P: thumbnailator F: Issue69InputStreamImageSourceTest.java  line #: 203 Time: 68
